id,character,rating
3292609214,Jar Jar Binks,Favorably
3292609214,Padme Amidala,Favorably
3292609214,Yoda,Favorably
3292596911,Han Solo,Favorably
3292596911,Luke Skywalker,Favorably
3292596911,Princess Leia Organa,Favorably
3292596911,Anakin Skywalker,Favorably
3292596911,Obi Wan Kenobi,Favorably
3292596911,Emperor Palpatine,Unfamiliar
3292596911,Darth Vader,Unfavorably
3292596911,Lando Calrissian,Unfamiliar
3292596911,Boba Fett,Neutral
3292596911,C-3P0,Favorably
3292596911,R2 D2,Favorably
3292596911,Jar Jar Binks,Unfamiliar
3292596911,Padme Amidala,Favorably
3292596911,Yoda,Favorably
3292587240,Han Solo,Favorably
3292587240,Luke Skywalker,Favorably
3292587240,Princess Leia Organa,Favorably
3292587240,Anakin Skywalker,Favorably
3292587240,Obi Wan Kenobi,Favorably
3292587240,Emperor Palpatine,Unfavorably
3292587240,Darth Vader,Unfavorably
3292587240,Lando Calrissian,Unfavorably
3292587240,Boba Fett,Unfavorably
3292587240,C-3P0,Favorably
3292587240,R2 D2,Favorably
3292587240,Jar Jar Binks,Favorably
3292587240,Padme Amidala,Favorably
3292587240,Yoda,Favorably
3292583038,Han Solo,Favorably
3292583038,Luke Skywalker,Favorably
3292583038,Princess Leia Organa,Favorably
3292583038,Anakin Skywalker,Unfavorably
3292583038,Obi Wan Kenobi,Favorably
3292583038,Emperor Palpatine,Favorably
3292583038,Darth Vader,Favorably
3292583038,Lando Calrissian,Favorably
3292583038,Boba Fett,Favorably
3292583038,C-3P0,Unfavorably
3292583038,R2 D2,Neutral
3292583038,Jar Jar Binks,Unfavorably
3292583038,Padme Amidala,Unfavorably
3292583038,Yoda,Favorably
3292580516,Han Solo,Neutral
3292580516,Luke Skywalker,Favorably
3292580516,Princess Leia Organa,Unfavorably
3292580516,Anakin Skywalker,Neutral
3292580516,Obi Wan Kenobi,Unfavorably
3292580516,Emperor Palpatine,Favorably
3292580516,Darth Vader,Unfavorably
3292580516,Lando Calrissian,Neutral
3292580516,Boba Fett,Favorably
3292580516,C-3P0,Neutral
3292580516,R2 D2,Unfavorably
3292580516,Jar Jar Binks,Neutral
3292580516,Padme Amidala,Unfavorably
3292580516,Yoda,Unfavorably
3292572872,Han Solo,Favorably
3292572872,Luke Skywalker,Favorably
3292572872,Princess Leia Organa,Favorably
3292572872,Anakin Skywalker,Favorably
3292572872,Obi Wan Kenobi,Favorably
3292572872,Emperor Palpatine,Favorably
3292572872,Darth Vader,Favorably
3292572872,Lando Calrissian,Neutral
3292572872,Boba Fett,Favorably
3292572872,C-3P0,Favorably
3292572872,R2 D2,Favorably
3292572872,Jar Jar Binks,Favorably
3292572872,Padme Amidala,Favorably
3292572872,Yoda,Favorably
3292565282,Han Solo,Favorably
3292565282,Luke Skywalker,Favorably
3292565282,Princess Leia Organa,Favorably
3292565282,Anakin Skywalker,Favorably
3292565282,Obi Wan Kenobi,Favorably
3292565282,Emperor Palpatine,Favorably
3292565282,Darth Vader,Favorably
3292565282,Lando Calrissian,Favorably
3292565282,Boba Fett,Favorably
3292565282,C-3P0,Favorably
3292565282,R2 D2,Favorably
3292565282,Jar Jar Binks,Unfavorably
3292565282,Padme Amidala,Unfavorably
3292565282,Yoda,Favorably
3292562297,Han Solo,Favorably
3292562297,Luke Skywalker,Favorably
3292562297,Princess Leia Organa,Favorably
3292562297,Anakin Skywalker,Favorably
3292562297,Obi Wan Kenobi,Favorably
3292562297,Emperor Palpatine,Unfavorably
3292562297,Darth Vader,Favorably
3292562297,Lando Calrissian,Unfavorably
3292562297,Boba Fett,Favorably
3292562297,C-3P0,Favorably
3292562297,R2 D2,Favorably
3292562297,Jar Jar Binks,Unfavorably
3292562297,Padme Amidala,Favorably
3292562297,Yoda,Favorably
3292522349,Han Solo,Favorably
3292522349,Luke Skywalker,Favorably
3292522349,Princess Leia Organa,Favorably
3292522349,Anakin Skywalker,Favorably
