year,school_id,awlevel,sex,graduates
2015,193900,05,female,151
2015,193900,07,male,50
2015,193900,07,female,51
2015,193900,17,male,1
2015,193900,17,female,5
2016,193900,05,male,211
2016,193900,05,female,162
2016,193900,07,male,59
2016,193900,07,female,54
2016,193900,17,male,4
2016,193900,17,female,8
2017,193900,05,male,179
2017,193900,05,female,173
2017,193900,07,male,51
2017,193900,07,female,65
2017,193900,17,male,5
2017,193900,17,female,4
2018,193900,05,male,211
2018,193900,05,female,176
2018,193900,07,male,60
2018,193900,07,female,53
2018,193900,17,male,4
2018,193900,17,female,2
2019,193900,05,male,174
2019,193900,05,female,198
2019,193900,07,male,54
2019,193900,07,female,71
2019,193900,17,male,1
2019,193900,17,female,3
