playerID,byu,eutah,sutah,utah,utahst,utahvalley,utdixie,utslxxo,utsnojc,weberst,total_schools
aguilri01,1,0,0,0,0,0,0,0,0,0,1
banksbr01,1,0,0,0,0,0,0,0,0,0,1
bradlbe01,1,0,0,0,0,0,0,0,0,0,1
coopega02,1,0,0,0,0,0,0,0,0,0,1
crosbke01,1,0,0,0,0,0,0,0,0,0,1
desiljo01,1,0,0,0,0,0,0,0,0,0,1
guthrje01,1,0,0,0,0,0,0,0,0,0,1
hancory01,1,0,0,0,0,0,0,0,0,0,1
howardo01,1,0,0,0,0,0,0,0,0,0,1
huntke02,1,0,0,0,0,0,0,0,0,0,1
iorgda01,1,0,0,0,0,0,0,0,0,0,1
johnsga01,1,0,0,0,0,0,0,0,0,0,1
joynewa01,1,0,0,0,0,0,0,0,0,0,1
lawva01,1,0,0,0,0,0,0,0,0,0,1
morrija02,1,0,0,0,0,0,0,0,0,0,1
nielssc01,1,0,0,0,0,0,0,0,0,0,1
nymanje01,1,0,0,0,0,0,0,0,0,0,1
pastocl01,1,0,0,0,0,0,0,0,0,0,1
ritchwa01,1,0,0,0,0,0,0,0,0,0,1
snydeco02,1,0,0,0,0,0,0,0,0,0,1
wardco02,1,0,0,0,0,0,0,0,0,0,1
colbevi01,0,1,0,0,0,0,0,0,0,0,1
eyrewi01,0,1,0,0,0,0,0,0,1,0,2
mickoka01,0,1,0,0,0,1,0,0,0,0,2
jensery01,0,0,1,0,0,0,0,0,0,0,1
adamssp02,0,0,0,1,0,0,0,0,0,0,1
cowanbi01,0,0,0,1,0,0,0,0,0,0,1
fifest01,0,0,0,1,0,0,0,0,0,0,1
gomezra01,0,0,0,1,0,0,0,0,0,0,1
mcdonke01,0,0,0,1,0,0,0,0,0,0,1
noriejo01,0,0,0,1,0,0,0,0,0,0,1
parsobi01,0,0,0,1,0,0,0,0,0,0,1
sheltch01,0,0,0,1,0,0,0,1,0,0,2
sprinst01,0,0,0,1,0,0,0,0,0,0,1
theodge01,0,0,0,1,0,0,0,0,0,0,1
milledy01,0,0,0,0,1,0,0,0,0,0,1
robsoto01,0,0,0,0,1,0,0,0,0,0,1
lyonbr01,0,0,0,0,0,0,1,0,0,0,1
thompbr01,0,0,0,0,0,0,1,0,0,0,1
murraaj01,0,0,0,0,0,0,0,1,0,0,1
grayda01,0,0,0,0,0,0,0,0,0,1,1
